episode,reward
0,-160.0
1,20.0
2,330.0
3,-90.0
4,-30.0
5,-100.0
6,295.0
7,850.0
8,750.0
9,1010.0
10,925.0
11,-30.0
12,245.0
13,-160.0
14,-110.0
15,-120.0
16,300.0
17,480.0
18,150.0
19,0.0
20,365.0
21,815.0
22,-180.0
23,-140.0
24,485.0
25,310.0
26,320.0
27,-30.0
28,240.0
29,260.0
30,-50.0
31,-60.0
32,-160.0
33,-100.0
34,50.0
35,-160.0
36,-160.0
37,-190.0
38,565.0
39,240.0
40,805.0
41,315.0
42,695.0
43,-60.0
44,330.0
45,515.0
46,300.0
47,345.0
48,345.0
49,290.0
50,440.0
51,-120.0
52,470.0
53,300.0
54,370.0
55,340.0
56,285.0
57,1325.0
58,-100.0
59,-150.0
60,415.0
61,30.0
62,20.0
63,410.0
64,-130.0
65,330.0
66,30.0
67,400.0
68,455.0
69,-50.0
70,100.0
71,300.0
72,120.0
73,615.0
74,-160.0
75,290.0
76,-20.0
77,485.0
78,345.0
79,-110.0
80,460.0
81,40.0
82,325.0
83,310.0
84,610.0
85,-110.0
86,465.0
87,-60.0
88,100.0
89,610.0
90,-150.0
91,1000.0
92,540.0
93,370.0
94,-150.0
95,455.0
96,-150.0
97,-85.0
98,320.0
99,-70.0
100,-180.0
101,380.0
102,-180.0
103,20.0
104,415.0
105,210.0
106,495.0
107,590.0
108,1220.0
109,785.0
110,-190.0
111,1195.0
112,865.0
113,370.0
114,765.0
115,300.0
116,430.0
117,400.0
118,-100.0
119,-100.0
120,735.0
121,1070.0
122,295.0
123,310.0
124,15.0
125,500.0
126,345.0
127,250.0
128,360.0
129,-110.0
130,440.0
131,435.0
132,230.0
133,320.0
134,300.0
135,300.0
136,10.0
137,935.0
138,650.0
139,1100.0
140,300.0
141,300.0
142,265.0
143,410.0
144,-110.0
145,280.0
146,400.0
147,-170.0
148,-110.0
149,480.0
150,390.0
151,305.0
152,380.0
153,300.0
154,280.0
155,10.0
156,360.0
157,720.0
158,-110.0
159,-130.0
160,-180.0
161,-80.0
162,625.0
163,275.0
164,290.0
165,360.0
166,655.0
167,605.0
168,265.0
169,-90.0
170,740.0
171,560.0
172,430.0
173,715.0
174,560.0
175,370.0
176,40.0
177,405.0
178,10.0
179,310.0
180,340.0
181,1015.0
182,330.0
183,300.0
184,755.0
185,-200.0
186,0.0
187,290.0
188,890.0
189,510.0
190,60.0
191,690.0
192,300.0
193,-30.0
194,490.0
195,-140.0
196,30.0
197,260.0
198,300.0
199,535.0
200,130.0
201,320.0
202,855.0
203,120.0
204,875.0
205,-110.0
206,590.0
207,-150.0
208,300.0
209,345.0
210,490.0
211,295.0
212,295.0
213,265.0
214,-130.0
215,320.0
216,430.0
217,655.0
218,-180.0
219,300.0
220,530.0
221,430.0
222,855.0
223,280.0
224,440.0
225,340.0
226,-160.0
227,310.0
228,440.0
229,300.0
230,285.0
231,365.0
232,1220.0
233,380.0
234,1105.0
235,220.0
236,1145.0
237,770.0
238,-20.0
239,660.0
240,310.0
241,295.0
242,555.0
243,-60.0
244,310.0
245,10.0
246,565.0
247,575.0
248,985.0
249,90.0
250,145.0
251,375.0
252,295.0
253,-180.0
254,345.0
255,1025.0
256,-180.0
257,260.0
258,610.0
259,0.0
260,330.0
261,315.0
262,480.0
263,505.0
264,245.0
265,290.0
266,60.0
267,-160.0
268,300.0
269,1185.0
270,725.0
271,380.0
272,1135.0
273,295.0
274,1175.0
275,300.0
276,500.0
277,300.0
278,95.0
279,-170.0
280,320.0
281,800.0
282,550.0
283,300.0
284,535.0
285,300.0
286,150.0
287,-20.0
288,525.0
289,-200.0
290,345.0
291,270.0
292,380.0
293,485.0
294,1475.0
295,-190.0
296,300.0
297,315.0
298,190.0
299,610.0
300,390.0
301,340.0
302,360.0
303,1185.0
304,535.0
305,255.0
306,370.0
307,-180.0
308,565.0
309,535.0
310,425.0
311,905.0
312,365.0
313,-120.0
314,285.0
315,645.0
316,-80.0
317,515.0
318,330.0
319,700.0
320,440.0
321,310.0
322,-180.0
323,-170.0
324,-60.0
325,425.0
326,325.0
327,855.0
328,305.0
329,795.0
330,530.0
331,650.0
332,-190.0
333,360.0
334,305.0
335,335.0
336,425.0
337,630.0
338,440.0
339,-110.0
340,280.0
341,365.0
342,725.0
343,525.0
344,-170.0
345,285.0
346,460.0
347,360.0
348,90.0
349,305.0
350,-200.0
351,440.0
352,510.0
353,75.0
354,460.0
355,410.0
356,580.0
357,495.0
358,565.0
359,20.0
360,325.0
361,425.0
362,120.0
363,480.0
364,960.0
365,400.0
366,1030.0
367,470.0
368,415.0
369,545.0
370,1040.0
371,1220.0
372,505.0
373,650.0
374,235.0
375,305.0
376,-90.0
377,765.0
378,1235.0
379,270.0
380,795.0
381,290.0
382,300.0
383,540.0
384,310.0
385,730.0
386,415.0
387,270.0
388,440.0
389,310.0
390,340.0
391,385.0
392,450.0
393,1015.0
394,-50.0
395,160.0
396,320.0
397,20.0
398,490.0
399,-120.0
400,625.0
401,470.0
402,-100.0
403,555.0
404,555.0
405,-90.0
406,750.0
407,150.0
408,360.0
409,-40.0
410,-140.0
411,765.0
412,330.0
413,90.0
414,575.0
415,405.0
416,460.0
417,410.0
418,300.0
419,-20.0
420,670.0
421,645.0
422,1205.0
423,440.0
424,425.0
425,235.0
426,-90.0
427,740.0
428,575.0
429,170.0
430,935.0
431,450.0
432,535.0
433,425.0
434,490.0
435,365.0
436,300.0
437,475.0
438,500.0
439,520.0
440,300.0
441,650.0
442,920.0
443,310.0
444,45.0
445,330.0
446,300.0
447,580.0
448,1495.0
449,-60.0
450,1670.0
451,-140.0
452,420.0
453,800.0
454,1080.0
455,385.0
456,-200.0
457,735.0
458,550.0
459,-200.0
460,1020.0
461,495.0
462,400.0
463,1245.0
464,325.0
465,565.0
466,1085.0
467,740.0
468,405.0
469,935.0
470,730.0
471,295.0
472,430.0
473,1510.0
474,320.0
475,220.0
476,1610.0
477,400.0
478,440.0
479,1115.0
480,360.0
481,970.0
482,965.0
483,290.0
484,1015.0
485,295.0
486,390.0
487,0.0
488,335.0
489,-190.0
490,1230.0
491,-110.0
492,940.0
493,860.0
494,10.0
495,1240.0
496,-50.0
497,555.0
498,-60.0
499,365.0
500,520.0
501,770.0
502,395.0
503,360.0
504,440.0
505,1295.0
506,335.0
507,285.0
508,360.0
509,355.0
510,-25.0
511,345.0
512,580.0
513,350.0
514,470.0
515,300.0
516,1165.0
517,1040.0
518,980.0
519,745.0
520,90.0
521,1160.0
522,-110.0
523,-110.0
524,565.0
525,930.0
526,955.0
527,750.0
528,360.0
529,-110.0
530,-140.0
531,820.0
532,765.0
533,360.0
534,765.0
535,620.0
536,-100.0
537,155.0
538,310.0
539,1195.0
540,435.0
541,345.0
542,375.0
543,495.0
544,-90.0
545,415.0
546,1165.0
547,310.0
548,1315.0
549,430.0
550,290.0
551,110.0
552,380.0
553,1115.0
554,250.0
555,320.0
556,585.0
557,-40.0
558,355.0
559,380.0
560,415.0
561,1105.0
562,900.0
563,-20.0
564,685.0
565,-90.0
566,-60.0
567,295.0
568,560.0
569,855.0
570,935.0
571,1110.0
572,305.0
573,235.0
574,370.0
575,1250.0
576,420.0
577,345.0
578,520.0
579,1065.0
580,-100.0
581,300.0
582,550.0
583,430.0
584,285.0
585,-200.0
586,850.0
587,345.0
588,395.0
589,335.0
590,805.0
591,0.0
592,455.0
593,815.0
594,-160.0
595,395.0
596,340.0
597,-130.0
598,510.0
599,120.0
600,825.0
601,920.0
602,970.0
603,750.0
604,810.0
605,260.0
606,530.0
607,1030.0
608,1115.0
609,345.0
610,110.0
611,510.0
612,360.0
613,-140.0
614,460.0
615,360.0
616,1275.0
617,460.0
618,-60.0
619,1300.0
620,395.0
621,1035.0
622,335.0
623,580.0
624,400.0
625,50.0
626,580.0
627,1285.0
628,-110.0
629,235.0
630,425.0
631,500.0
632,265.0
633,650.0
634,275.0
635,715.0
636,845.0
637,1300.0
638,385.0
639,600.0
640,1045.0
641,535.0
642,1105.0
643,-120.0
644,365.0
645,370.0
646,1430.0
647,800.0
648,1285.0
649,90.0
650,1065.0
651,30.0
652,-50.0
653,960.0
654,335.0
655,905.0
656,615.0
657,575.0
658,750.0
659,-120.0
660,590.0
661,625.0
662,-150.0
663,775.0
664,525.0
665,230.0
666,1110.0
667,-80.0
668,640.0
669,500.0
670,905.0
671,680.0
672,-110.0
673,330.0
674,710.0
675,390.0
676,1070.0
677,230.0
678,380.0
679,470.0
680,1185.0
681,1395.0
682,400.0
683,800.0
684,610.0
685,1405.0
686,-180.0
687,585.0
688,1255.0
689,1075.0
690,390.0
691,935.0
692,850.0
693,-20.0
694,825.0
695,1445.0
696,-120.0
697,765.0
698,630.0
699,-120.0
700,245.0
701,-10.0
702,440.0
703,1250.0
704,-190.0
705,415.0
706,515.0
707,980.0
708,1290.0
709,385.0
710,675.0
711,710.0
712,820.0
713,280.0
714,625.0
715,20.0
716,1080.0
717,-40.0
718,505.0
719,930.0
720,945.0
721,-80.0
722,1105.0
723,965.0
724,720.0
725,510.0
726,-110.0
727,1285.0
728,1235.0
729,1500.0
730,-80.0
731,630.0
732,350.0
733,650.0
734,990.0
735,1335.0
736,670.0
737,705.0
738,720.0
739,-200.0
740,1490.0
741,590.0
742,1040.0
743,355.0
744,495.0
745,580.0
746,405.0
747,320.0
748,1020.0
749,480.0
750,845.0
751,380.0
752,790.0
753,280.0
754,680.0
755,1055.0
756,510.0
757,1240.0
758,620.0
759,1125.0
760,575.0
761,1025.0
762,395.0
763,820.0
764,1105.0
765,945.0
766,1055.0
767,595.0
768,-100.0
769,-110.0
770,1095.0
771,-80.0
772,-110.0
773,490.0
774,1065.0
775,605.0
776,380.0
777,1385.0
778,675.0
779,-20.0
780,55.0
781,725.0
782,-170.0
783,-70.0
784,1320.0
785,610.0
786,285.0
787,300.0
788,915.0
789,705.0
790,355.0
791,1265.0
792,575.0
793,660.0
794,1185.0
795,1205.0
796,650.0
797,635.0
798,1210.0
799,435.0
800,930.0
801,-40.0
802,1445.0
803,340.0
804,1375.0
805,110.0
806,480.0
807,630.0
808,625.0
809,970.0
810,1015.0
811,815.0
812,685.0
813,1090.0
814,685.0
815,-10.0
816,-100.0
817,610.0
818,1325.0
819,-60.0
820,445.0
821,1215.0
822,1550.0
823,1410.0
824,825.0
825,490.0
826,-190.0
827,-200.0
828,1225.0
829,755.0
830,455.0
831,1515.0
832,1200.0
833,-40.0
834,940.0
835,265.0
836,-110.0
837,1045.0
838,730.0
839,1275.0
840,1280.0
841,1260.0
842,850.0
843,775.0
844,620.0
845,1145.0
846,730.0
847,1020.0
848,515.0
849,1135.0
850,240.0
851,560.0
852,1150.0
853,1465.0
854,380.0
855,1065.0
856,250.0
857,775.0
858,30.0
859,950.0
860,120.0
861,1225.0
862,225.0
863,-180.0
864,1145.0
865,830.0
866,-60.0
867,250.0
868,1305.0
869,1340.0
870,1180.0
871,775.0
872,1160.0
873,370.0
874,930.0
875,-60.0
876,1070.0
877,-150.0
878,200.0
879,320.0
880,1440.0
881,600.0
882,1210.0
883,20.0
884,590.0
885,1400.0
886,1285.0
887,235.0
888,545.0
889,1115.0
890,1235.0
891,1375.0
892,545.0
893,945.0
894,-130.0
895,470.0
896,240.0
897,-90.0
898,910.0
899,1060.0
900,790.0
901,905.0
902,490.0
903,70.0
904,320.0
905,700.0
906,40.0
907,75.0
908,1245.0
909,-40.0
910,1205.0
911,485.0
912,875.0
913,705.0
914,710.0
915,670.0
916,1320.0
917,960.0
918,945.0
919,750.0
920,1560.0
921,1070.0
922,1240.0
923,675.0
924,-60.0
925,1375.0
926,-120.0
927,1010.0
928,795.0
929,815.0
930,660.0
931,10.0
932,0.0
933,1210.0
934,1280.0
935,745.0
936,765.0
937,410.0
938,1575.0
939,1240.0
940,515.0
941,645.0
942,1310.0
943,1240.0
944,1285.0
945,410.0
946,445.0
947,1350.0
948,840.0
949,170.0
950,1355.0
951,1435.0
952,890.0
953,1330.0
954,250.0
955,725.0
956,260.0
957,270.0
958,605.0
959,-150.0
960,-130.0
961,1275.0
962,695.0
963,1185.0
964,600.0
965,-170.0
966,1205.0
967,1405.0
968,690.0
969,430.0
970,1045.0
971,965.0
972,530.0
973,820.0
974,1180.0
975,180.0
976,770.0
977,470.0
978,1270.0
979,1285.0
980,1280.0
981,710.0
982,765.0
983,-110.0
984,685.0
985,150.0
986,1165.0
987,930.0
988,1085.0
989,1135.0
990,1460.0
991,1520.0
992,-170.0
993,1240.0
994,815.0
995,1410.0
996,825.0
997,-50.0
998,1325.0
999,200.0
1000,1500.0
1001,580.0
1002,1455.0
1003,740.0
1004,360.0
1005,-170.0
1006,1055.0
1007,10.0
1008,1025.0
1009,775.0
1010,-150.0
1011,745.0
1012,70.0
1013,835.0
1014,1220.0
1015,0.0
1016,1290.0
1017,-110.0
1018,-40.0
1019,-130.0
1020,60.0
1021,70.0
1022,200.0
1023,1455.0
1024,1260.0
1025,1170.0
1026,1035.0
1027,440.0
1028,1300.0
1029,390.0
1030,1035.0
1031,1110.0
1032,1420.0
1033,885.0
1034,1180.0
1035,1500.0
1036,1085.0
1037,150.0
1038,965.0
1039,730.0
1040,500.0
1041,875.0
1042,1330.0
1043,1045.0
1044,990.0
1045,1130.0
1046,1185.0
1047,385.0
1048,1015.0
1049,990.0
1050,1245.0
1051,1215.0
1052,630.0
1053,1290.0
1054,690.0
1055,1210.0
1056,745.0
1057,1205.0
1058,-60.0
1059,730.0
1060,1390.0
1061,1210.0
1062,875.0
1063,805.0
1064,355.0
1065,-170.0
1066,1120.0
1067,-20.0
1068,820.0
1069,1060.0
1070,295.0
1071,1315.0
1072,990.0
1073,715.0
1074,1180.0
1075,10.0
1076,-200.0
1077,1145.0
1078,600.0
1079,-130.0
1080,-110.0
1081,450.0
1082,1190.0
1083,940.0
1084,1310.0
1085,650.0
1086,920.0
1087,675.0
1088,985.0
1089,740.0
1090,1295.0
1091,1200.0
1092,550.0
1093,1340.0
1094,825.0
1095,1560.0
1096,1285.0
1097,705.0
1098,1245.0
1099,-190.0
1100,210.0
1101,1500.0
1102,90.0
1103,330.0
1104,1370.0
1105,435.0
1106,585.0
1107,1025.0
1108,210.0
1109,470.0
1110,165.0
1111,665.0
1112,1520.0
1113,1105.0
1114,230.0
1115,640.0
1116,205.0
1117,500.0
1118,670.0
1119,355.0
1120,50.0
1121,810.0
1122,5.0
1123,480.0
1124,1550.0
1125,330.0
1126,90.0
1127,20.0
1128,50.0
1129,1055.0
1130,1365.0
1131,1425.0
1132,1500.0
1133,800.0
1134,660.0
1135,440.0
1136,900.0
1137,935.0
1138,855.0
1139,990.0
1140,900.0
1141,-130.0
1142,705.0
1143,1435.0
1144,1615.0
1145,1190.0
1146,380.0
1147,45.0
1148,775.0
1149,145.0
1150,1095.0
1151,850.0
1152,905.0
1153,1075.0
1154,295.0
1155,1120.0
1156,1115.0
1157,1700.0
1158,-5.0
1159,855.0
1160,1035.0
1161,1270.0
1162,790.0
1163,1110.0
1164,925.0
1165,1160.0
1166,835.0
1167,-200.0
1168,1105.0
1169,140.0
1170,620.0
1171,470.0
1172,1060.0
1173,1010.0
1174,330.0
1175,1100.0
1176,1275.0
1177,1095.0
1178,1065.0
1179,-70.0
1180,-110.0
1181,1565.0
1182,270.0
1183,1610.0
1184,845.0
1185,-180.0
1186,-70.0
1187,-70.0
1188,500.0
1189,1015.0
1190,1015.0
1191,1660.0
1192,1325.0
1193,160.0
1194,1110.0
1195,1135.0
1196,20.0
1197,1000.0
1198,920.0
1199,1465.0
1200,1540.0
1201,950.0
1202,1170.0
1203,230.0
1204,-140.0
1205,1135.0
1206,320.0
1207,1140.0
1208,665.0
1209,530.0
1210,1585.0
1211,955.0
1212,800.0
1213,-200.0
1214,1260.0
1215,780.0
1216,1445.0
1217,975.0
1218,730.0
1219,990.0
1220,1035.0
1221,1135.0
1222,1370.0
1223,1245.0
1224,1080.0
1225,1000.0
1226,-110.0
1227,745.0
1228,20.0
1229,140.0
1230,610.0
1231,1325.0
1232,-50.0
1233,-80.0
1234,1325.0
1235,365.0
1236,475.0
1237,360.0
1238,885.0
1239,-150.0
1240,425.0
1241,-50.0
1242,70.0
1243,1395.0
1244,1040.0
1245,1370.0
1246,1025.0
1247,1405.0
1248,1215.0
1249,1250.0
1250,1185.0
1251,1245.0
1252,1460.0
1253,1595.0
1254,1685.0
1255,1165.0
1256,1810.0
1257,1055.0
1258,675.0
1259,875.0
1260,90.0
1261,1030.0
1262,720.0
1263,1285.0
1264,140.0
1265,1145.0
1266,525.0
1267,1080.0
1268,585.0
1269,-5.0
1270,1485.0
1271,1375.0
1272,1185.0
1273,1295.0
1274,485.0
1275,-40.0
1276,1385.0
1277,1480.0
1278,970.0
1279,115.0
1280,525.0
1281,1110.0
1282,885.0
1283,1230.0
1284,575.0
1285,1240.0
1286,1375.0
1287,1130.0
1288,1565.0
1289,470.0
1290,-100.0
1291,1345.0
1292,995.0
1293,1160.0
1294,1140.0
1295,1315.0
1296,1555.0
